Store,Product,Date,Is_Holiday,Base Price,Price,Weekly_Units_Sold
2,1,2/5/2010,False,9.99,7.99,345
2,1,2/12/2010,True,9.99,7.99,595
2,1,2/19/2010,False,9.99,7.99,572
2,1,2/26/2010,False,9.99,7.99,255
2,1,3/5/2010,False,9.99,9.99,183
2,1,3/12/2010,False,9.99,9.99,191
2,1,3/19/2010,False,9.99,9.99,189
2,1,3/26/2010,False,9.99,9.99,215
2,1,4/2/2010,False,9.99,9.99,552
2,1,4/9/2010,False,9.99,9.99,444
2,1,4/16/2010,False,9.99,9.99,142
2,1,4/23/2010,False,9.99,9.99,148
2,1,4/30/2010,False,9.99,9.99,161
2,1,5/7/2010,False,9.99,7.99,257
2,1,5/14/2010,False,9.99,7.99,255
2,1,5/21/2010,False,9.99,7.99,223
2,1,5/28/2010,False,9.99,7.99,225
2,1,6/4/2010,False,9.99,9.99,159
2,1,6/11/2010,False,9.99,9.99,163
2,1,6/18/2010,False,9.99,9.99,159
2,1,6/25/2010,False,9.99,9.99,159
2,1,7/2/2010,False,9.99,9.99,159
2,1,7/9/2010,False,9.99,9.99,158
2,1,7/16/2010,False,9.99,9.99,158
2,1,7/23/2010,False,9.99,9.99,141
2,1,7/30/2010,False,9.99,9.99,151
2,1,8/6/2010,False,9.99,9.99,152
2,1,8/13/2010,False,9.99,9.99,146
2,1,8/20/2010,False,9.99,9.99,147
2,1,8/27/2010,False,9.99,9.99,142
2,1,9/3/2010,False,9.99,9.99,159
2,1,9/10/2010,True,9.99,9.99,171
2,1,9/17/2010,False,9.99,9.99,175
2,1,9/24/2010,False,9.99,9.99,174
2,1,10/1/2010,False,9.99,9.99,180
2,1,10/8/2010,False,9.99,9.99,210
2,1,10/15/2010,False,9.99,9.99,233
2,1,10/22/2010,False,9.99,9.99,272
2,1,10/29/2010,False,9.99,9.99,379
2,1,11/5/2010,False,9.99,9.99,308
2,1,11/12/2010,False,9.99,9.99,152
2,1,11/19/2010,False,9.99,9.99,163
2,1,11/26/2010,True,9.99,9.99,163
2,1,12/3/2010,False,9.99,9.99,205
2,1,12/10/2010,False,9.99,9.99,297
2,1,12/17/2010,False,9.99,9.99,430
2,1,12/24/2010,False,9.99,9.99,550
2,1,12/31/2010,True,9.99,9.99,190
2,1,1/7/2011,False,10.99,10.99,110
2,1,1/14/2011,False,10.99,10.99,128
2,1,1/21/2011,False,10.99,10.99,133
2,1,1/28/2011,False,10.99,10.99,147
2,1,2/4/2011,False,10.99,8.79,252
2,1,2/11/2011,True,10.99,8.79,438
2,1,2/18/2011,False,10.99,8.79,534
2,1,2/25/2011,False,10.99,8.79,193
2,1,3/4/2011,False,10.99,10.99,148
2,1,3/11/2011,False,10.99,10.99,151
2,1,3/18/2011,False,10.99,10.99,147
2,1,3/25/2011,False,10.99,10.99,138
2,1,4/1/2011,False,10.99,10.99,142
2,1,4/8/2011,False,10.99,10.99,163
2,1,4/15/2011,False,10.99,10.99,200
2,1,4/22/2011,False,10.99,10.99,417
2,1,4/29/2011,False,10.99,10.99,335
2,1,5/6/2011,False,10.99,8.79,210
2,1,5/13/2011,False,10.99,8.79,191
2,1,5/20/2011,False,10.99,8.79,184
2,1,5/27/2011,False,10.99,8.79,182
2,1,6/3/2011,False,10.99,10.99,128
2,1,6/10/2011,False,10.99,10.99,125
2,1,6/17/2011,False,10.99,10.99,129
2,1,6/24/2011,False,10.99,10.99,124
2,1,7/1/2011,False,10.99,10.99,125
2,1,7/8/2011,False,10.99,10.99,121
2,1,7/15/2011,False,10.99,10.99,120
2,1,7/22/2011,False,10.99,10.99,118
2,1,7/29/2011,False,10.99,10.99,120
2,1,8/5/2011,False,10.99,10.99,121
2,1,8/12/2011,False,10.99,10.99,119
2,1,8/19/2011,False,10.99,10.99,123
2,1,8/26/2011,False,10.99,10.99,125
2,1,9/2/2011,False,10.99,10.99,137
2,1,9/9/2011,True,10.99,10.99,130
2,1,9/16/2011,False,10.99,10.99,139
2,1,9/23/2011,False,10.99,10.99,140
2,1,9/30/2011,False,10.99,10.99,144
